Date,EURBRL
23/02/2011,"2,299296"
24/02/2011,"2,29735259"
25/02/2011,"2,282832"
28/02/2011,"2,292411836"
01/03/2011,"2,28207406"
02/03/2011,"2,2935483"
03/03/2011,"2,30220715"
04/03/2011,"2,2977528"
07/03/2011,"2,306909835"
08/03/2011,"2,2985638"
09/03/2011,"2,30019847"
10/03/2011,"2,2890882"
11/03/2011,"2,3105124"
14/03/2011,"2,32952808"
15/03/2011,"2,32615152"
16/03/2011,"2,3267908"
17/03/2011,"2,35643927"
18/03/2011,"2,36567442"
21/03/2011,"2,3639756"
22/03/2011,"2,35056438"
23/03/2011,"2,341596"
24/03/2011,"2,348495175"
25/03/2011,"2,33212752"
28/03/2011,"2,3368982"
29/03/2011,"2,33630931"
30/03/2011,"2,299442"
31/03/2011,"2,303757216"
01/04/2011,"2,30462694"
03/04/2011,"2,29253804"
04/04/2011,"2,28211284"
05/04/2011,"2,2849933"
06/04/2011,"2,31451098"
07/04/2011,"2,277847"
08/04/2011,"2,27918971"
09/04/2011,"2,26657102"
11/04/2011,"2,27654385"
12/04/2011,"2,3032907"
13/04/2011,"2,2991664"
14/04/2011,"2,2862994"
15/04/2011,"2,26822588"
17/04/2011,"2,26027417"
18/04/2011,"2,2603525"
19/04/2011,"2,26277975"
20/04/2011,"2,27734074"
21/04/2011,"2,27200376"
24/04/2011,"2,268511128"
25/04/2011,"2,29572"
26/04/2011,"2,297390025"
27/04/2011,"2,31450375"
28/04/2011,"2,35422783"
29/04/2011,"2,324699"
30/04/2011,"2,31634161"
02/05/2011,"2,3370036"
03/05/2011,"2,354278375"
04/05/2011,"2,37965325"
05/05/2011,"2,36275"
06/05/2011,"2,30283632"
07/05/2011,"2,31785048"
09/05/2011,"2,32195815"
10/05/2011,"2,3153656"
11/05/2011,"2,30203989"
12/05/2011,"2,3015727"
13/05/2011,"2,30782484"
15/05/2011,"2,302237848"
16/05/2011,"2,30823432"
17/05/2011,"2,3082388"
18/05/2011,"2,29674702"
19/05/2011,"2,31332244"
20/05/2011,"2,2852626"
21/05/2011,"2,2832121"
23/05/2011,"2,298179772"
24/05/2011,"2,29569645"
25/05/2011,"2,29059995"
26/05/2011,"2,292537022"
27/05/2011,"2,2867299"
28/05/2011,"2,27729812"
30/05/2011,"2,2818132"
31/05/2011,"2,27743262"
01/06/2011,"2,2831668"
02/06/2011,"2,284851"
03/06/2011,"2,3032342"
05/06/2011,"2,29860576"
06/06/2011,"2,30361556"
07/06/2011,"2,3153514"
08/06/2011,"2,308373215"
09/06/2011,"2,303179053"
10/06/2011,"2,2914703"
11/06/2011,"2,29061124"
13/06/2011,"2,2905435"
14/06/2011,"2,28164159"
15/06/2011,"2,2648654"
16/06/2011,"2,280662"
17/06/2011,"2,2831605"
18/06/2011,"2,27722952"
20/06/2011,"2,28330936"
21/06/2011,"2,28279325"
22/06/2011,"2,2713144"
23/06/2011,"2,2690073"
24/06/2011,"2,254143"
25/06/2011,"2,255574"
27/06/2011,"2,282764"
28/06/2011,"2,2650612"
29/06/2011,"2,273349419"
30/06/2011,"2,263077546"
01/07/2011,"2,2592082"
02/07/2011,"2,2465344"
04/07/2011,"2,257044625"
05/07/2011,"2,25516814"
06/07/2011,"2,24834976"
07/07/2011,"2,23344342"
08/07/2011,"2,23086204"
10/07/2011,"2,21791218"
11/07/2011,"2,2181462"
